,name,year,quarter,sector,Relative Return,보유 주식 수 변화율,발행금액 변화율,현재까지 감소한 주식의 총수 변화율,금리 변화율,실업률 변화율,국제유가 변화율,Label,Code
10,현대중공업,2022,Q2,중공업,0.07759604924450823,0.0,0.0,0.0,0.2746673361787626,-0.033707865168539186,0.13207484462760455,-0.14347793980641796,009540
10,삼성중공업,2022,Q2,중공업,0.11188207328538041,0.0,0.0,0.0,0.2746673361787626,-0.033707865168539186,0.13207484462760455,-0.05422997846543336,010140
10,현대미포조선,2022,Q2,중공업,0.3573825938863026,0.0,0.0,0.0,0.2746673361787626,-0.033707865168539186,0.13207484462760455,-0.10481405305550945,010620
10,한화테크윈,2022,Q2,중공업,0.3713514566696945,0.0,0.0,0.0,0.2746673361787626,-0.033707865168539186,0.13207484462760455,0.09479855594504098,012450
10,SK텔레콤,2022,Q2,커뮤니케이션서비스,-0.09228983719541448,0.0,0.0,0.0,0.2746673361787626,-0.033707865168539186,0.13207484462760455,0.01864789207147642,017670
10,현대엘리베이,2022,Q2,중공업,-0.09024746790815313,0.0,0.0,0.0,0.2746673361787626,-0.033707865168539186,0.13207484462760455,-0.048603483585653154,017800
10,제일기획,2022,Q2,커뮤니케이션서비스,-0.05083642078624897,0.0,0.0,0.0,0.2746673361787626,-0.033707865168539186,0.13207484462760455,0.06391421923812787,030000
10,KT,2022,Q2,커뮤니케이션서비스,0.04618542425539806,0.0,0.0,0.0,0.2746673361787626,-0.033707865168539186,0.13207484462760455,-0.00291953180614948,030200
10,LG유플러스,2022,Q2,커뮤니케이션서비스,-0.040755412685438884,0.0,0.0,0.0,0.2746673361787626,-0.033707865168539186,0.13207484462760455,-0.01898226500035678,032640
10,두산중공업,2022,Q2,중공업,0.1690025133431057,0.0,0.0,0.0,0.2746673361787626,-0.033707865168539186,0.13207484462760455,-0.19470291182482363,034020
10,SBS,2022,Q2,커뮤니케이션서비스,-0.03902019812959706,0.0,0.05655067811091019,0.0,0.2746673361787626,-0.033707865168539186,0.13207484462760455,-0.27190250710621316,034120
10,NAVER,2022,Q2,커뮤니케이션서비스,0.004943729452190855,0.0,0.0,0.0,0.2746673361787626,-0.033707865168539186,0.13207484462760455,-0.2505031089986652,035420
10,엔씨소프트,2022,Q2,커뮤니케이션서비스,-0.08467778245050528,0.0,0.05655067811090375,0.0,0.2746673361787626,-0.033707865168539186,0.13207484462760455,0.2541229426276293,036570
10,대우조선해양,2022,Q2,중공업,-0.05127262922484243,0.0,0.0,0.0,0.2746673361787626,-0.033707865168539186,0.13207484462760455,-0.07081976626988813,042660
10,두산인프라코어,2022,Q2,중공업,-0.017884296459892278,0.0,0.0,0.0,0.2746673361787626,-0.033707865168539186,0.13207484462760455,0.2495622858930595,042670
10,현대로템,2022,Q2,중공업,0.4349775264621344,0.0,0.0,0.0,0.2746673361787626,-0.033707865168539186,0.13207484462760455,0.017288038401420725,064350
10,두산엔진,2022,Q2,중공업,0.18668551948422235,0.0,0.0,0.0,0.2746673361787626,-0.033707865168539186,0.13207484462760455,-0.20399184590106903,082740
10,한진중공업,2022,Q2,중공업,-0.06468503145376733,0.0,0.0,0.0,0.2746673361787626,-0.033707865168539186,0.13207484462760455,-0.3969376921998557,097230
