trade_start,trade_end,score,open_price,close_price,change_ratio,confusion_label
2021-01-05,2021-01-31,3,139000,153000,0.1007,PP
2021-02-05,2021-02-22,0,159000,166000,0.044,
2021-03-01,2021-03-29,-1,150500,140500,-0.0664,NN
2021-04-05,2021-04-29,0,163000,162000,-0.0061,
2021-05-04,2021-05-31,2,155000,152000,-0.0194,PN
2021-06-07,2021-06-28,2,155000,163500,0.0548,PP
2021-07-07,2021-07-31,0,171000,157500,-0.0789,
2021-08-02,2021-08-31,1,157500,142000,-0.0984,PN
2021-09-01,2021-09-27,0,143000,138500,-0.0315,
2021-10-05,2021-10-28,2,123000,122000,-0.0081,PN
2021-11-03,2021-11-24,2,123500,128500,0.0405,PP
2021-12-06,2021-12-27,2,121500,138000,0.1358,PP
2022-01-05,2022-01-23,0,142000,133500,-0.0599,
2022-02-02,2022-02-23,0,130000,125500,-0.0346,
2022-03-03,2022-03-24,2,125000,121000,-0.032,PN
2022-04-07,2022-04-25,1,113000,119000,0.0531,PP
2022-05-04,2022-05-24,2,116000,102500,-0.1164,PN
2022-06-02,2022-06-26,1,104000,89000,-0.1442,PN
2022-07-04,2022-07-25,1,90800,93900,0.0341,PP
2022-08-02,2022-08-31,2,94400,101000,0.0699,PP
2022-09-01,2022-09-30,3,99100,78600,-0.2069,PN
2022-10-05,2022-10-25,-1,82200,80100,-0.0255,NN
2022-11-02,2022-11-24,2,81700,90500,0.1077,PP
2022-12-02,2022-12-28,2,96400,89400,-0.0726,PN
2023-01-02,2023-01-31,1,87200,100100,0.1479,PP
2023-02-01,2023-02-27,1,100100,112700,0.1259,PP
2023-03-02,2023-03-31,1,110600,115300,0.0425,PP
2023-04-06,2023-04-23,1,117400,107800,-0.0818,PN
2023-05-02,2023-05-31,2,109300,122800,0.1235,PP
2023-06-05,2023-06-28,1,123800,122800,-0.0081,PN
2023-07-07,2023-07-22,3,125200,120800,-0.0351,PN
2023-08-06,2023-08-30,0,103500,100100,-0.0329,
2023-09-06,2023-09-26,1,101800,100700,-0.0108,PN
2023-10-05,2023-10-30,0,98700,103100,0.0446,
2023-11-06,2023-11-24,1,103900,104900,0.0096,PP
2023-12-01,2023-12-31,-2,103200,101800,-0.0136,NN
2024-01-01,2024-01-24,0,101500,93900,-0.0749,
2024-02-07,2024-02-27,2,97700,96100,-0.0164,PN
2024-03-04,2024-03-22,3,95100,99400,0.0452,PP
2024-04-05,2024-04-23,3,94200,92800,-0.0149,PN
2024-05-07,2024-05-28,2,93200,109300,0.1727,PP
2024-06-03,2024-06-25,2,105600,111100,0.0521,PP
2024-07-03,2024-07-25,2,108000,110200,0.0204,PP
2024-08-08,2024-08-28,3,93500,98300,0.0513,PP
2024-09-02,2024-09-29,2,99900,106500,0.0661,PP
2024-10-07,2024-10-24,-2,105800,97200,-0.0813,NN
2024-11-04,2024-11-25,1,91000,94200,0.0352,PP
2024-12-05,2024-12-25,1,87400,86900,-0.0057,PN
2025-01-05,2025-01-24,2,85900,85100,-0.0093,PN
2025-02-07,2025-02-26,2,80000,82300,0.0288,PP
2025-03-05,2025-03-25,3,78500,82800,0.0548,PP
