trade_start,trade_end,score,open_price,close_price,change_ratio,confusion_label
2021-03-08,2021-03-15,1.0,6810,6800,-0.0015,PN
2021-04-18,2021-04-18,-1.0,7310,7200,-0.015,NN
2021-05-11,2021-05-11,0.0,7470,7450,-0.0027,
2021-06-02,2021-06-02,1.0,10050,9630,-0.0418,PN
2021-07-15,2021-07-15,-1.0,8170,8190,0.0024,NP
2021-08-11,2021-08-27,0.0,7700,7510,-0.0247,
2021-09-17,2021-09-17,0.0,7360,7350,-0.0014,
2021-10-05,2021-10-12,0.0,6990,6920,-0.01,
2021-11-09,2021-11-16,1.0,7680,7930,0.0326,PP
2021-12-14,2021-12-27,1.0,8190,8200,0.0012,PP
2022-02-03,2022-02-24,2.0,7310,7140,-0.0233,PN
2022-03-01,2022-03-01,1.0,7280,7280,0.0,PP
2022-04-22,2022-04-22,1.0,8150,8110,-0.0049,PN
2022-05-04,2022-05-04,0.0,8100,7940,-0.0198,
2022-08-01,2022-08-13,0.0,6720,6720,0.0,
2022-11-06,2022-11-06,1.0,6180,6150,-0.0049,PN
2023-01-02,2023-01-02,-1.0,6150,6070,-0.013,NN
2023-08-23,2023-08-23,1.0,6460,6440,-0.0031,PN
2023-11-09,2023-11-09,0.0,6270,6280,0.0016,
2024-03-31,2024-03-31,1.0,6340,6340,0.0,PP
2024-07-10,2024-07-10,1.0,6460,6540,0.0124,PP
2024-08-02,2024-08-02,1.0,6370,6320,-0.0078,PN
2024-10-21,2024-10-21,0.0,6190,6140,-0.0081,
2024-11-05,2024-11-13,1.0,6200,6430,0.0371,PP
2024-12-06,2024-12-06,0.0,6650,6570,-0.012,
2025-01-21,2025-01-21,2.0,6780,6820,0.0059,PP
