year,quarter,upload_date,disclosure_date,code,name,sector,prediction,reason
2016,Q1,,2016-04-27,34220,LG디스플레이,정보기술,,
2016,Q2,2016-08-10,2016-08-10,34220,LG디스플레이,정보기술,down,"요약본에 따르면 LG디스플레이와 같은 주요 한국 수출업체들은 환율 변동에 취약하며, 원화 강세로 인해 수출 경쟁력이 감소하고 영업 이익에 부정적인 영향을 받을 수 있습니다. 특히 디스플레이 산업은 달러 거래를 많이 하기 때문에 환율 하락으로 매출에 부정적인 영향을 받을 것으로 예상됩니다."
2016,Q3,2016-11-09,2016-11-09,34220,LG디스플레이,정보기술,irrelevant,"요약본은 전기 안전 행사와 관련된 내용으로, LG디스플레이의 주가에 직접적인 영향을 미칠 경제적 또는 금융적 정보가 포함되어 있지 않습니다."
2016,Q4,2017-03-29,2017-03-29,34220,LG디스플레이,정보기술,up,"요약본에서는 LG디스플레이가 OLED 생산을 확대하고 있으며, 주가가 저평가되어 있어 긍정적인 실적 전망과 함께 주가 상승 가능성이 언급되고 있습니다."
2017,Q1,2017-05-11,2017-05-11,34220,LG디스플레이,정보기술,irrelevant,"요약본에서는 LG디스플레이에 대한 구체적인 긍정적 또는 부정적 요인이 언급되지 않았으며, 현재의 포지션이 우려할 만한 수준이 아니라고만 언급되어 주가에 직접적인 영향을 미칠 만한 정보가 없습니다."
2017,Q2,2017-08-10,2017-08-10,34220,LG디스플레이,정보기술,down,"요약본에서는 LG디스플레이의 주가가 하락하고 있으며, 소형 OLED 시장에서의 경쟁력 부족과 투자 규모의 차이로 인해 위험이 있다고 언급되어 주가에 부정적인 영향을 줄 수 있습니다."
2017,Q3,,2017 Q3,34220,LG디스플레이,정보기술,,
2017,Q4,2018-03-29,2018-03-29,34220,LG디스플레이,정보기술,down,"요약본에 따르면 LG디스플레이는 LCD 패널 가격 하락과 OLED 시장에서의 도전으로 인해 수익성에 부정적인 영향을 받고 있으며, 6년 만에 처음으로 영업 손실을 기록할 것으로 예상됩니다. 또한, 시장 경쟁과 외부 압력, 투자 중단 등 여러 어려움이 주가에 부정적인 영향을 미칠 수 있습니다."
2018,Q1,,2018 Q1,34220,LG디스플레이,정보기술,,
2018,Q2,2018-08-14,2018-08-14,34220,LG디스플레이,정보기술,up,"요약본에 따르면 LG디스플레이는 LCD 패널 가격 상승 가능성과 기관 매수 증가로 인해 3분기 실적 개선이 예상되며, 숏커버링으로 인한 주가 급등 가능성도 언급되고 있습니다. 이는 주가에 긍정적인 영향을 미칠 수 있습니다."
2018,Q3,2018-11-11,2018-11-11,34220,LG디스플레이,정보기술,up,"LG디스플레이는 최근 부진한 실적과 손실에도 불구하고 내년 디스플레이 시장의 개선으로 전환점이 예상되며, 주가가 저평가되어 있어 장기적인 관점에서 투자하기 좋은 시기라는 내용이 있습니다."
2018,Q4,2019-03-31,2019-03-31,34220,LG디스플레이,정보기술,irrelevant,"요약본은 AEG Display라는 특정 주식에 대한 기술적 분석에 관한 내용이며, LG디스플레이(034220)와는 직접적인 관련이 없습니다. 따라서 LG디스플레이의 주가에 미치는 영향은 없습니다."
2019,Q1,2019-05-11,2019-05-12,34220,LG디스플레이,정보기술,down,"요약본에 따르면 LG디스플레이는 OLED 시장에서 중국 기업 BOE의 경쟁에 직면하고 있으며, LCD 매출 의존도가 높아 재정적 어려움을 겪고 있습니다. 이는 주가에 부정적인 영향을 미칠 수 있습니다."
2019,Q2,2019-08-13,2019-08-13,34220,LG디스플레이,정보기술,up,요약본에서는 LG디스플레이의 최근 투자 발표와 정부의 지원이 언급되어 주가에 긍정적인 영향을 줄 수 있습니다.
2019,Q3,2019-11-08,2019-11-08,34220,LG디스플레이,정보기술,down,"요약본에 따르면 LG디스플레이는 재정 악화로 인해 자발적 퇴직과 경영진 감축 등 구조조정을 진행하고 있으며, 이는 회사의 재정적 어려움을 나타내어 주가에 부정적인 영향을 미칠 수 있습니다."
2019,Q4,2020-03-27,2020-03-27,34220,LG디스플레이,정보기술,down,"요약본에서는 LG디스플레이의 장기적인 하락 추세와 재정적 손실, 경쟁사의 우위 등을 언급하며 주식 보유를 줄일 것을 권장하고 있어 주가에 부정적인 영향을 미칠 수 있습니다."
2020,Q1,2020-05-13,2020-05-13,34220,LG디스플레이,정보기술,down,"요약본에 따르면 LG디스플레이는 LCD TV 패널 시장에서 철수하고 있으며, 이는 중국 제조업체에 대한 의존도를 높이고 있습니다. 이는 LG디스플레이의 시장 경쟁력에 부정적인 영향을 미칠 수 있습니다."
2020,Q2,2020-08-10,2020-08-10,34220,LG디스플레이,정보기술,up,요약본에서는 LG디스플레이가 애플과의 파트너십을 통해 OLED 패널을 공급하게 되어 긍정적인 발전으로 언급되고 있습니다. 이는 주가에 긍정적인 영향을 미칠 수 있습니다.
2020,Q3,2020-11-11,2020-11-11,34220,LG디스플레이,정보기술,up,"LG디스플레이는 최근 3분기 흑자를 기록하며 주가가 상승하였고, 장기적으로 더 상승할 가능성이 있다고 언급되어 주가에 긍정적인 영향을 줄 수 있습니다."
2020,Q4,2021-03-13,2021-03-13,34220,LG디스플레이,정보기술,irrelevant,"요약본에서는 LG디스플레이에 대한 구체적인 주가 상승 또는 하락의 신호가 없으며, 명확한 투자 신호를 기다리라는 조언만 있습니다. 따라서 주가에 직접적인 영향을 미칠 정보는 없습니다."
2021,Q1,2021-05-14,2021-05-14,34220,LG디스플레이,정보기술,up,"요약본에 따르면 LG디스플레이는 iPhone 13의 표준 모델에 OLED 디스플레이를 공급하게 되어, 이는 한국 소재 및 부품 산업에 긍정적인 영향을 미칠 수 있습니다. LG디스플레이의 공급량이 5천만 대로 예상되며, 이는 회사의 매출 증가로 이어질 가능성이 있습니다."
2021,Q2,2021-08-11,2021-08-11,34220,LG디스플레이,정보기술,up,"요약본에서는 LG가 OLED 산업에 7조 원을 투자할 계획이며, 이는 자율주행, 메타버스, 스마트폰 등 다양한 산업의 성장으로 인해 OLED 부문에 긍정적인 영향을 미칠 것으로 예상됩니다. 이는 LG디스플레이의 주가에 긍정적인 영향을 줄 수 있습니다."
2021,Q3,2021-11-09,2021-11-09,34220,LG디스플레이,정보기술,up,요약본에서는 LG디스플레이가 기술적 우위와 시장에서의 경쟁력을 바탕으로 주가 상승 가능성이 있다고 언급하고 있습니다. 특히 OLED 기술의 중요성과 운영 이익률 개선 전망이 긍정적인 영향을 미칠 것으로 보입니다.
2021,Q4,2022-03-13,2022-03-13,34220,LG디스플레이,정보기술,irrelevant,요약본에서는 LG디스플레이의 주가에 직접적인 영향을 미칠 수 있는 구체적인 정보나 분석이 포함되어 있지 않습니다. 주로 기술적 분석 방법론과 다른 회사들의 주가 움직임에 대한 내용이 중심입니다.
2022,Q1,2022-05-10,2022-05-11,34220,LG디스플레이,정보기술,irrelevant,"요약본은 삼성전자와 LG전자의 차세대 디스플레이 기술에 대한 내용으로, LG디스플레이(034220)와 직접적인 관련이 없어 주가에 영향을 미치지 않을 것으로 보입니다."
2022,Q2,2022-08-11,2022-08-11,34220,LG디스플레이,정보기술,irrelevant,"요약본은 LG디스플레이가 아닌 LG전자의 주가 상승 요인에 대해 설명하고 있으며, LG디스플레이에 대한 직접적인 언급이나 관련 정보가 없습니다. 따라서 LG디스플레이의 주가에 미치는 영향은 판단할 수 없습니다."
2022,Q3,2022-11-08,2022-11-08,34220,LG디스플레이,정보기술,up,"요약본에서는 LG디스플레이가 신축성 있는 디스플레이 기술을 개발하고 있으며, 이는 다양한 응용 가능성을 가지고 있어 회사의 수익과 운영 이익에 긍정적인 영향을 미칠 수 있음을 시사합니다."
