year,quarter,upload_date,disclosure_date,code,name,sector,prediction,reason
2016,Q1,,2016-05-16,3550,LG,정보기술,,
2016,Q2,,2016-08-16,3550,LG,정보기술,,
2016,Q3,,2016-11-14,3550,LG,정보기술,,
2016,Q4,,2017-03-31,3550,LG,정보기술,,
2017,Q1,,2017-05-15,3550,LG,정보기술,,
2017,Q2,,2017-08-14,3550,LG,정보기술,,
2017,Q3,,2017-11-14,3550,LG,정보기술,,
2017,Q4,,2018-04-02,3550,LG,정보기술,,
2018,Q1,,2018-05-15,3550,LG,정보기술,,
2018,Q2,,2018-08-14,3550,LG,정보기술,,
2018,Q3,,2018-11-14,3550,LG,정보기술,,
2018,Q4,,2019-04-01,3550,LG,정보기술,,
2019,Q1,,2019-05-15,3550,LG,정보기술,,
2019,Q2,,2019-08-14,3550,LG,정보기술,,
2019,Q3,,2019-11-14,3550,LG,정보기술,,
2019,Q4,,2020-03-30,3550,LG,정보기술,,
2020,Q1,,2020-05-15,3550,LG,정보기술,,
2020,Q2,2020-08-09,2020-08-14,3550,LG,정보기술,up,"요약본에서는 LG Corp가 저평가되어 있으며, 배당 안정성과 성장 가능성이 강조되고 있습니다. 또한, 한국 주식 시장의 긍정적인 전망이 언급되어 있어 LG의 주가에 긍정적인 영향을 미칠 수 있습니다."
2020,Q3,,2020-11-16,3550,LG,정보기술,,
2020,Q4,,2021-03-11,3550,LG,정보기술,,
2021,Q1,,2021-05-17,3550,LG,정보기술,,
2021,Q2,2021-08-13,2021-08-17,3550,LG,정보기술,up,"요약본에서는 LG의 자회사들이 전년 대비 개선된 성과를 보였고, 특히 LG CNS가 클라우드, AI, 빅데이터 분야에서 확장하고 있다는 점이 언급되었습니다. 또한, 주주 환원 정책과 배당금 증가 가능성도 주가에 긍정적인 영향을 미칠 수 있습니다."
2021,Q3,2021-11-11,2021-11-15,3550,LG,정보기술,up,"요약본에서는 LG가 모바일 사업 철수로 브랜드 이미지와 재무 성과 개선이 기대되며, 프리미엄 제품과 전기차 부품에 대한 전략적 전환이 산업 트렌드와 맞물려 긍정적인 영향을 줄 것으로 보입니다. 또한, LG의 주식이 미래 수익 전망에 비해 저평가되어 있다는 점도 주가에 긍정적인 영향을 미칠 수 있습니다."
2021,Q4,,2022-03-21,3550,LG,정보기술,,
2022,Q1,,2022-05-16,3550,LG,정보기술,,
2022,Q2,,2022-08-16,3550,LG,정보기술,,
2022,Q3,,2022-11-14,3550,LG,정보기술,,
2022,Q4,2023-03-16,2023-03-21,3550,LG,정보기술,irrelevant,"요약본에서는 LG의 경제적 성과와 투자 잠재력에 대한 일반적인 설명이 주어졌으나, 주가에 직접적인 영향을 미칠 수 있는 구체적인 사건이나 변화는 언급되지 않았습니다."
2023,Q1,2023-05-11,2023-05-15,3550,LG,정보기술,up,"요약본에서는 LG의 재무 건전성과 안정적인 배당 정책, 그리고 지속적인 성장 가능성이 강조되어 주가에 긍정적인 영향을 줄 수 있습니다."
2023,Q2,,2023-08-14,3550,LG,정보기술,,
2023,Q3,,2023-11-14,3550,LG,정보기술,,
2023,Q4,,2024-03-19,3550,LG,정보기술,,
2024,Q1,,2024-05-16,3550,LG,정보기술,,
2024,Q2,2024-08-10,2024-08-14,3550,LG,정보기술,up,"요약본에서는 LG 주식이 79,200 KRW에서 매수하기 좋은 주식으로 간주되며, 목표가가 9,000 KRW로 설정되어 있어 주가에 긍정적인 영향을 줄 수 있습니다."
2024,Q3,,2024-11-14,3550,LG,정보기술,,
