year,quarter,upload_date,disclosure_date,code,name,sector,prediction,reason
2016,Q1,2016-05-16,2016-05-16,29530,신도리코,정보기술,irrelevant,"요약본은 3D 프린팅 기술의 다양한 응용과 미래 전망에 대해 설명하고 있으며, 신도리코(029530)와 직접적인 관련이 있는 정보는 포함되어 있지 않습니다. 따라서 주가에 영향을 미칠 만한 요소가 없습니다."
2016,Q2,2016-08-15,2016-08-16,29530,신도리코,정보기술,irrelevant,"요약본에서는 3D 프린터의 시장 상황과 소비자 관점에 대한 내용이 주로 다루어져 있으며, 이는 신도리코(029530)의 주가에 직접적인 영향을 미칠 만한 정보가 포함되어 있지 않습니다."
2016,Q3,2016-11-09,2016-11-09,29530,신도리코,정보기술,irrelevant,"요약본은 3D 프린팅 기술의 발전에 관한 내용으로, 경제나 금융 이슈와 직접적인 관련이 없어 신도리코의 주가에 영향을 미치지 않을 것으로 보입니다."
2016,Q4,2017-03-28,2017-03-28,29530,신도리코,정보기술,irrelevant,"요약본은 새로운 국가 기술 자격증 도입과 관련된 내용으로, 신도리코의 주가에 직접적인 영향을 미칠 만한 정보는 포함되어 있지 않습니다."
2017,Q1,,2017 Q1,29530,신도리코,정보기술,,
2017,Q2,,2017 Q2,29530,신도리코,정보기술,,
2017,Q3,2017-11-08,2017-11-08,29530,신도리코,정보기술,irrelevant,"요약본에는 경제나 금융과 관련된 실질적인 내용이 없으며, 광고에 대한 언급만 있어 신도리코의 주가에 영향을 미칠 만한 정보가 없습니다."
2017,Q4,,2017 Q4,29530,신도리코,정보기술,,
2018,Q1,2018-05-09,2018-05-09,29530,신도리코,정보기술,irrelevant,"요약본은 3D 프린팅 기술을 활용한 의료 기기 개발에 관한 정부의 이니셔티브에 대해 설명하고 있으며, 이는 신도리코(029530)와 직접적인 관련이 없어 보입니다."
2018,Q2,2018-08-11,2018-08-11,29530,신도리코,정보기술,irrelevant,"요약본은 4D 프린팅 기술에 대한 내용으로, 신도리코(029530)와 직접적인 관련이 없으며 주가에 영향을 미칠 만한 정보가 포함되어 있지 않습니다."
2018,Q3,,2018 Q3,29530,신도리코,정보기술,,
2018,Q4,,2019-03-29,29530,신도리코,정보기술,,
2019,Q1,,2019-05-09,29530,신도리코,정보기술,,
2019,Q2,2019-08-13,2019-08-13,29530,신도리코,정보기술,irrelevant,"요약본에서는 신도리코와 직접적으로 관련된 정보가 없으며, 언급된 산업이나 투자 전략이 신도리코의 주가에 영향을 미칠 것이라는 명확한 근거가 없습니다."
2019,Q3,,2019-11-11,29530,신도리코,정보기술,,
2019,Q4,2020-03-29,2020-03-29,29530,신도리코,정보기술,down,"요약본에서는 뉴욕 증권거래소의 변동성과 한국 주식 시장에 대한 부정적인 영향을 언급하고 있으며, 이는 신도리코의 주가에도 부정적인 영향을 미칠 수 있습니다."
2020,Q1,,2020-05-12,29530,신도리코,정보기술,,
2020,Q2,,2020 Q2,29530,신도리코,정보기술,,
2020,Q3,2020-11-12,2020-11-12,29530,신도리코,정보기술,up,신도리코는 이전에 하락세였으나 현재 반전을 시도하고 있다는 내용이 있어 주가에 긍정적인 영향을 미칠 수 있습니다.
2020,Q4,2021-03-09,2021-03-09,29530,신도리코,정보기술,up,"요약본에서는 신도리코가 3D 프린팅 분야의 정책 변화로 혜택을 받을 가능성이 있으며, 정부의 3D 프린팅 투자 발표가 신도리코에 긍정적인 영향을 미칠 수 있다고 언급하고 있습니다. 또한, 경제 회복과 사무실 활동 증가로 인해 신도리코의 주가가 회복세를 보이고 있으며, 기술적 분석에서도 상승 추세가 예상된다고 합니다."
2021,Q1,,2021-05-12,29530,신도리코,정보기술,,
2021,Q2,,2021-08-08,29530,신도리코,정보기술,,
2021,Q3,,2021-11-12,29530,신도리코,정보기술,,
2021,Q4,,2022-03-07,29530,신도리코,정보기술,,
2022,Q1,,2022-05-07,29530,신도리코,정보기술,,
2022,Q2,,2022-08-21,29530,신도리코,정보기술,,
2022,Q3,,2022-11-07,29530,신도리코,정보기술,,
2022,Q4,2023-03-12,2023-03-12,29530,신도리코,정보기술,down,"요약본에 따르면 신도리코의 주요 제품인 다기능 프린터와 3D 프린터 판매가 정체되어 있으며, 운영 이익률이 노동 및 개발 비용 증가로 감소하고 있습니다. 또한, 글로벌 경제 침체와 프린터 수요 약화로 인해 산업용 3D 프린터 사업의 성장이 제한되고 있습니다. 이러한 요소들은 주가에 부정적인 영향을 미칠 수 있습니다."
2023,Q1,,2023-05-10,29530,신도리코,정보기술,,
2023,Q2,2023-08-13,2023-08-13,29530,신도리코,정보기술,irrelevant,"요약본에서는 신도리코에 대한 구체적인 언급이 없으며, 전반적인 기술적 분석에 대한 내용만 포함되어 있어 신도리코의 주가에 직접적인 영향을 미칠 만한 정보가 없습니다."
2023,Q3,,2023-11-08,29530,신도리코,정보기술,,
2023,Q4,,2024-03-12,29530,신도리코,정보기술,,
2024,Q1,2024-05-14,2024-05-14,29530,신도리코,정보기술,down,"요약본에 따르면 신도리코는 매출 감소와 낮은 수익성을 보이고 있으며, 이는 주가에 부정적인 영향을 미칠 수 있습니다."
2024,Q2,,2024-08-08,29530,신도리코,정보기술,,
2024,Q3,,2024-11-11,29530,신도리코,정보기술,,
