year,quarter,disclosure_date,code,name,sector,prediction,reason
2016,Q1,2016-05-16,4710,한솔테크닉스,정보기술,,
2016,Q2,2016-08-12,4710,한솔테크닉스,정보기술,,
2016,Q3,2016-11-14,4710,한솔테크닉스,정보기술,,
2016,Q4,2017-03-31,4710,한솔테크닉스,정보기술,,
2017,Q1,2017-05-12,4710,한솔테크닉스,정보기술,,
2017,Q2,2017-08-11,4710,한솔테크닉스,정보기술,,
2017,Q3,2017-11-13,4710,한솔테크닉스,정보기술,,
2017,Q4,2018-03-23,4710,한솔테크닉스,정보기술,,
2018,Q1,2018-05-14,4710,한솔테크닉스,정보기술,,
2018,Q2,2018-08-13,4710,한솔테크닉스,정보기술,irrelevant,"요약본에서는 한솔테크닉스의 주가에 영향을 미칠 수 있는 여러 요소가 언급되었지만, 주가에 직접적인 긍정적 또는 부정적 영향을 미칠 만한 명확한 정보는 없습니다. 따라서 주가에 미치는 영향은 중립적이라고 판단됩니다."
2018,Q3,2018-11-12,4710,한솔테크닉스,정보기술,,
2018,Q4,2019-03-29,4710,한솔테크닉스,정보기술,down,"영상에서는 한솔테크닉스의 주가가 최근 하락세를 보이고 있으며, 외국인 투자자들이 매도하고 있다는 점이 언급되어 주가에 부정적인 영향을 줄 수 있습니다."
2019,Q1,2019-05-07,4710,한솔테크닉스,정보기술,,
2019,Q2,2019-08-13,4710,한솔테크닉스,정보기술,,
2019,Q3,2019-11-12,4710,한솔테크닉스,정보기술,,
2019,Q4,2020-03-30,4710,한솔테크닉스,정보기술,,
2020,Q1,2020-05-11,4710,한솔테크닉스,정보기술,irrelevant,"요약본에서는 한솔테크닉스의 주가에 영향을 미칠 수 있는 여러 요인들이 언급되었지만, 이는 주로 과거의 실적과 특정 투자 전략에 관한 내용입니다. 따라서 요약본만으로는 주가에 직접적인 영향을 미칠 만한 새로운 정보가 없습니다."
2020,Q2,2020-08-13,4710,한솔테크닉스,정보기술,,
2020,Q3,2020-11-13,4710,한솔테크닉스,정보기술,irrelevant,요약본에서는 한솔테크닉스에 대한 구체적인 주가 변동 요인이나 경제적 변화가 언급되지 않았습니다. 따라서 주가에 직접적인 영향을 미칠 만한 정보가 없습니다.
2020,Q4,2021-03-16,4710,한솔테크닉스,정보기술,,
2021,Q1,2021-05-14,4710,한솔테크닉스,정보기술,irrelevant,"요약본에서는 한솔테크닉스의 주가에 영향을 미칠 수 있는 구체적인 경제적 또는 산업적 요인에 대한 언급이 없으며, 주로 투자 전략과 주식의 현재 상태에 대한 설명이 포함되어 있습니다."
2021,Q2,2021-08-11,4710,한솔테크닉스,정보기술,up,"영상에서는 한솔테크닉스가 LED, LCD, 태양광 에너지 등 다양한 포트폴리오를 가지고 있으며, 미래 성장 가능성이 있다고 언급하고 있습니다. 이는 주가에 긍정적인 영향을 미칠 수 있습니다."
2021,Q3,2021-11-12,4710,한솔테크닉스,정보기술,irrelevant,"요약본에서는 한솔테크닉스(004710)에 대한 구체적인 언급이나 관련된 정보가 없으므로, 해당 회사의 주가에 직접적인 영향을 미칠 요소가 없습니다."
2021,Q4,2022-03-15,4710,한솔테크닉스,정보기술,,
2022,Q1,2022-05-13,4710,한솔테크닉스,정보기술,,
2022,Q2,2022-08-16,4710,한솔테크닉스,정보기술,,
2022,Q3,2022-11-11,4710,한솔테크닉스,정보기술,,
2022,Q4,2023-03-20,4710,한솔테크닉스,정보기술,irrelevant,"요약본은 한솔테크닉스의 사업 내용과 재무 성과를 설명하고 있지만, 주가에 직접적인 영향을 미칠 수 있는 새로운 정보나 외부 요인에 대한 언급이 없어 주가에 영향을 미치지 않을 것으로 보입니다."
2023,Q1,2023-05-15,4710,한솔테크닉스,정보기술,,
2023,Q2,2023-08-11,4710,한솔테크닉스,정보기술,,
2023,Q3,2023-11-14,4710,한솔테크닉스,정보기술,,
2023,Q4,2024-03-13,4710,한솔테크닉스,정보기술,,
2024,Q1,2024-05-13,4710,한솔테크닉스,정보기술,down,"요약본에 따르면 한솔테크닉스는 높은 비용 구조와 낮은 수익성을 가지고 있으며, 최근 매출 감소와 높은 부채 비율로 인해 재무 구조가 취약합니다. 이러한 요소들은 주가에 부정적인 영향을 미칠 수 있습니다."
2024,Q2,2024-08-13,4710,한솔테크닉스,정보기술,,
2024,Q3,2024-11-13,4710,한솔테크닉스,정보기술,,
