,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,유동자산 변화율,유동부채 변화율,비유동부채 변화율,이익잉여금 변화율,영업이익 변화율,Label,Code
12,유한양행,2021,Q4,헬스케어,0.13205388132662688,0.3776767877449143,0.02590470445314863,0.06237184536560081,-0.5442433236128442,0.04145997332955509,0.555000114876266,0.011350218745230758,000100
12,일동제약,2021,Q4,헬스케어,0.07268899017813357,-17.40107040111171,0.3041067573283951,-0.11014077702406444,0.6025489768462522,0.04950641431642322,-0.8370963974954677,2.520681320410893,000230
12,동아쏘시오홀딩스,2021,Q4,헬스케어,0.05740492497456121,-1.8269189995361832,0.03306903868785027,-0.046685802370968754,0.17841690655666498,-0.033815740770788305,-1.1416580816749982,0.043360283530845124,000640
12,부광약품,2021,Q4,헬스케어,0.07304964992850684,-0.23906576141339153,0.018325437215094276,0.0838635842388824,0.26844540848963105,0.003724010284038126,0.8470230976450543,-0.12076654497997773,003000
12,영진약품,2021,Q4,헬스케어,0.22966702290136187,-0.2820204567760587,-0.012269208139601084,0.4344567723746817,-0.12624344261344822,0.12750656998425058,-0.31812494337066843,-0.09475173631426428,003520
12,녹십자,2021,Q4,헬스케어,-0.08916531012314793,0.03714246617774597,-0.13738854894714236,-0.14913680062522527,-0.03604792849171434,0.08249872367062894,-1.1676213497925132,-0.04194085852683647,006280
12,일양약품,2021,Q4,헬스케어,-0.022441093876834642,-0.2874376255754285,0.038170610698732954,0.025204854448964253,-0.2046358867954413,0.23323313689802005,-0.14770047532138653,-0.058726279543019,007570
12,서흥,2021,Q4,헬스케어,-0.06578888428827526,0.09934801031391127,-0.1558804604778623,-0.2514608933656336,-0.07575802817527522,0.026330546184967663,0.44445072795877794,-0.00807542499805411,008490
12,광동제약,2021,Q4,헬스케어,0.05838417734390898,-0.47429637350214526,-0.04899538055217045,-0.08695729224357773,0.007296977157447149,0.018045084703464997,-0.22753850618711535,-0.04210243108253543,009290
12,대웅제약,2021,Q4,헬스케어,0.3288844824079724,-0.30541996952760975,-0.029987459746858458,0.27194630419315335,-0.324394472633865,0.06405422154779505,0.03284419774325409,0.03283575678619291,069620
12,한미약품,2021,Q4,헬스케어,0.1365419181680136,-0.04693739924856988,-0.06085083850668549,-0.02540116943045634,-0.05362171401512228,0.04228463067745358,0.17779285602955497,0.1106898560947257,128940
12,동아에스티,2021,Q4,헬스케어,0.039211302652888455,-1.7590368695426946,-0.0836320022067415,0.04942515468892528,-0.16657022529519006,-0.023624151247031655,-1.4177343411820615,0.001248375176212048,170900
12,종근당,2021,Q4,헬스케어,-0.002806981680773424,-0.98537536827697,-0.06667428770441752,-0.07002860446088599,-0.06382126603753291,-0.008281383512249052,-0.9733220561210216,-0.029772261093295935,185750
