,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,유동자산 변화율,유동부채 변화율,비유동부채 변화율,이익잉여금 변화율,영업이익 변화율,Label,Code
15,유한양행,2021,Q1,헬스케어,0.028381352702002864,1.0336890190514691,0.06853707352798266,0.28096555764971876,0.12833284640093412,0.000984028613457033,-0.7098335306931465,-0.03154098717449321,000100
15,일동제약,2021,Q1,헬스케어,-0.05209837758433877,-0.9702443805167796,-0.16844043461490488,0.016568014654390506,0.02123244838943794,-0.016148757339399578,0.3544080591735881,-0.07564943740893487,000230
15,동아쏘시오홀딩스,2021,Q1,헬스케어,0.15522541675913962,-0.5623770202466116,0.6228467630406715,0.2409966949943505,-0.1222322407554286,0.04617200999638982,-6.537639239890331,-0.03757965376465787,000640
15,부광약품,2021,Q1,헬스케어,-0.12307251492606891,-1.3475711686026157,0.05370932489286151,0.0153836994912262,0.005598660670847355,-0.035018076050506886,-1.1042870319779952,-0.006903933759275696,003000
15,영진약품,2021,Q1,헬스케어,-0.01782222708645972,-0.31905845525822585,0.0351326662239575,0.17826091662636334,0.009605514784763791,-0.14265645225836088,-0.3271861317460989,-0.11320843568757336,003520
15,녹십자,2021,Q1,헬스케어,0.010559098662608922,-1.6879585802262536,0.0011927430631590852,0.01920842424849134,0.012102050671132458,-0.0039049224077422062,-1.0307929825692117,-0.11135039035126715,006280
15,일양약품,2021,Q1,헬스케어,0.04858363004501072,-2.3716526286348776,0.10932013989106437,0.08454339297885816,0.361727949193863,0.06906575727118014,3.119900624961722,-0.09215167327279107,007570
15,서흥,2021,Q1,헬스케어,0.051612771858169336,11.688690745014755,0.10517228333293138,0.1521914226721559,0.020932027744078097,0.03142217241916789,1.9485135908094904,-0.0024974462839027715,008490
15,광동제약,2021,Q1,헬스케어,0.0425041024663672,0.24152854887099595,-0.012724276161412917,0.0807923431485642,-0.7476256813028141,0.003927038740463518,-0.0869713923689498,-0.07242752538901487,009290
15,대웅제약,2021,Q1,헬스케어,0.08006156625333917,-10.25749235126169,0.13146611183519852,0.18251695529367096,0.024394127855528414,-0.06313969921044427,1.219002326811907,0.19366675195401076,069620
15,한미약품,2021,Q1,헬스케어,-0.033360489244546265,-0.6162566034686854,0.09941875660859312,0.04479662558305475,0.017771944765095027,0.0011302641680199788,-0.5661843796702559,-0.031371689926315345,128940
15,동아에스티,2021,Q1,헬스케어,0.02088670980673501,-1.1360748408045291,0.009355496437972066,0.07693852083742025,0.02964343997850971,-0.04329258435683081,-1.0527371934040741,-0.04653119264432603,170900
15,종근당,2021,Q1,헬스케어,-0.18394322257951018,0.3353845563877571,-0.03977452676718818,0.030813384843100478,-0.2239386995874575,0.009341011740545246,0.42692606375763,0.0025232492542080105,185750
