,name,sector,year,quarter,이익잉여금변화율,영업이익변화율,부채총계변화율,자본총계변화율,비유동자산변화율,Relative Return,주주 수변화율,1인평균급여변화율,전체 주식 수변화율,전체 주주 수변화율,Label,Code
3,Yuhan_Corporation,Healthcare,2023,Q4,-0.008934289881062263,0.0633295483121995,0.033439487523993616,-0.010874538931739952,-0.022158028110869532,0.27234032762498045,-0.5688460341315584,-0.16142730643635517,-0.4824131681195607,-0.4673032865822273,-0.23831869525258847,000100
3,Ildong_Pharmaceutical,Healthcare,2023,Q4,0.1690850681510353,1.1404706763148713,-0.08635461229746633,0.0179949015666363,-0.027420245766695883,0.4405113520605537,-0.5763777767237597,-0.14146914962349277,-0.11105137390857922,-0.4592017524077907,-0.2438243988109839,000230
3,Bukwang_Pharmaceutical,Healthcare,2023,Q4,0.03455993105107302,0.3601970861574121,-0.3942177540849152,0.04150163646934313,0.03457478973050443,-0.09406872470399816,-0.1519401441049868,-0.165662646121139,-0.1674549805666612,-0.04641507226506181,-0.12738138574961336,003000
3,Youngjin_Pharmaceutical,Healthcare,2023,Q4,-0.21333895705723815,-7.145235761352062,-0.03253875639217774,-0.026332762957117062,0.005981046102386256,-0.030884582021947528,-0.14886290513471878,-0.0855837202134011,-0.11935973003998801,-0.07978777962162842,-0.1857549767319,003520
3,SK_Chemicals,Healthcare,2023,Q4,-0.0019876445886428673,1.4661553993765928,-0.044113554117314546,0.0011842652084794736,-0.01636478419444365,0.17612290593129842,-0.058434088482147706,-0.1906030606761353,-0.12451600177076472,0.00729175842346963,-0.13454364210070813,006120
3,GC_Biopharma,Healthcare,2023,Q4,-0.008884118467125779,1.3577745271756139,0.03971091594859,-0.006928901459439363,-0.046475967691725906,-0.014960120010528995,-0.3135524407996928,-0.08358501607098234,-0.2465328466987331,-0.29120315248968165,0.05452492969707477,006280
3,Ilyang_Pharmaceutical,Healthcare,2023,Q4,0.249753044417925,0.08389213246659377,0.1205842988291409,0.04264196834276457,0.050307411615896136,-0.1433747108481324,-0.39980806557638204,-0.4393518590059544,-0.7639959767797462,-0.6003290558871028,0.008988162777687617,007570
3,Kwang_Dong_Pharmaceutical,Healthcare,2023,Q4,-0.0006366939317234976,0.6842317836197227,-0.005030781107802307,-0.0008293771181291376,-0.12298574050374267,-0.06274161387897939,-0.05542584321061339,-0.0697784239331829,-0.13568140865363554,-0.09586076021626089,0.13907147558815847,009290
3,Daewoong_Pharmaceutical,Healthcare,2023,Q4,-0.0702847801752089,0.06280065143681768,-0.026994246401807587,-0.06078263425866037,-0.06955457925549235,0.22345312876906862,-0.10309659348065314,-0.06001171629141733,-0.18176566818554551,-0.10154835950017627,-0.0630730381313078,069620
3,Huvepharma,Healthcare,2023,Q4,0.4986266077828735,-0.7876688711971935,-0.0530036464830097,0.18701130217776063,0.07064339013652632,0.20330444197599365,-1.2788408279112429,-0.4111925407888857,-0.516734303427185,-0.9217373416705734,-0.34811533998834937,079980
3,Hanmi_Pharmaceutical,Healthcare,2023,Q4,-0.06042852802118559,-0.6466146732142257,0.015057475928412556,0.01195605605701977,0.027424806525152667,0.013767230821734002,-0.4234445203166175,-0.6519367268063954,-0.8230811736483894,-0.6044784907517211,0.11445182893660157,128940
3,KOLMAR_Korea,Healthcare,2023,Q4,0.08028620106436435,-0.40771816053190957,-0.043434385651129004,0.049729013882526596,0.02473579557205674,0.20118612504875955,0.12229115740456264,-0.06061596656058921,-0.19200495866891898,0.08245917105349165,-0.04828188159629947,161890
3,COSMAX,Healthcare,2023,Q4,0.42334838805193553,0.3225073679022069,-0.150929940676924,0.08076561911798497,-0.03537695301598931,0.4162930769204173,0.17806014993487107,-0.061031548013957826,-0.4939953947099265,0.025767603540786665,-0.12216802021016085,192820
