,name,sector,year,quarter,이익잉여금변화율,영업이익변화율,부채총계변화율,Code
23,Yuhan_Corporation,Healthcare,2018,Q4,-0.012335530886748547,-0.592613529384439,-0.013849035006968435,000100
23,Ildong_Pharmaceutical,Healthcare,2018,Q4,0.001742154985232447,0.15068599193925103,0.010763570566008185,000230
23,Bukwang_Pharmaceutical,Healthcare,2018,Q4,-0.4800378668231995,0.9699251396450065,0.14631579961763352,003000
23,Youngjin_Pharmaceutical,Healthcare,2018,Q4,0.2676790360651474,1.698630942507692,-0.0127769097864594,003520
23,SK_Chemicals,Healthcare,2018,Q4,0.018491550553257685,-0.038881798429528214,0.0029819544076344906,006120
23,GC_Biopharma,Healthcare,2018,Q4,-0.000866385356321997,1.1377455174923021,0.018068088283827444,006280
23,Ilyang_Pharmaceutical,Healthcare,2018,Q4,-11.170356588260079,-0.25954595571711536,0.09025977000690721,007570
23,Kwang_Dong_Pharmaceutical,Healthcare,2018,Q4,-0.007554684184541971,0.4621700213629484,0.06683505089527564,009290
23,Daewoong_Pharmaceutical,Healthcare,2018,Q4,0.041155497744944536,0.41679744632099536,-0.04002685868135858,069620
23,Huvepharma,Healthcare,2018,Q4,0.1242672580892904,57.802720404832606,0.029563189623165287,079980
23,Hanmi_Pharmaceutical,Healthcare,2018,Q4,0.0975112142774488,0.4291868489185474,0.0556197118964461,128940
23,KOLMAR_Korea,Healthcare,2018,Q4,-0.06969595391089678,-0.7217239003520182,0.03976982783023442,161890
23,COSMAX,Healthcare,2018,Q4,-0.05302405735052873,-0.3514674672683433,-0.007470084275023048,192820
