,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,이익잉여금 변화율,유동부채 변화율,비유동부채 변화율,당기순이익(손실) 변화율,국제유가 변화율,Label,Code
35,유한양행,2016,Q1,헬스케어,0.1148266266075024,-0.5170079285858977,0.02829693175160508,-0.06822735972385952,0.1732739995355479,-0.48858488562480074,-0.22660852268380383,-0.021322660882138945,000100
35,일동제약,2016,Q1,헬스케어,0.06574955965458663,-0.6520281080649044,-0.00220764554413333,-0.003986829119935642,0.061678025837797135,-0.6929994511072328,-0.22660852268380383,-0.017564600762572644,000230
35,동아쏘시오홀딩스,2016,Q1,헬스케어,-0.08383989999888539,-0.5121938541631963,0.03614898643743025,0.03232988633152112,-0.29423243596011217,-0.26874271565032914,-0.22660852268380383,-0.11475335845004679,000640
35,부광약품,2016,Q1,헬스케어,0.03989261079945959,-0.6305076148964754,-0.05583762002101078,1.1775704225930292,0.03808135707536486,-0.6529722702235112,-0.22660852268380383,-0.03692754308589987,003000
35,영진약품,2016,Q1,헬스케어,1.2942459531017734,-0.6782943873501164,0.11195361637488732,-0.046296795986234596,-0.0038678976267574328,-0.7135697952650892,-0.22660852268380383,0.36828605154656463,003520
35,녹십자,2016,Q1,헬스케어,-0.01722413402096781,-0.954238012451651,-0.024887820619477696,0.2575722598238559,-0.26993068260696884,-0.9489333521600113,-0.22660852268380383,-0.00951536102852494,006280
35,일양약품,2016,Q1,헬스케어,-0.05471804705359408,-6.000979878669128,-5.277133551425156,0.009527963059130728,-0.022012233236747725,-5.277133551425156,-0.22660852268380383,0.028678102094541358,007570
35,서흥,2016,Q1,헬스케어,0.1218431730422396,-0.8113790088413116,0.003703816226184653,0.11239068806123687,-0.05676046619816699,-0.8267338776694269,-0.22660852268380383,-0.18526692966740427,008490
35,광동제약,2016,Q1,헬스케어,-0.07118412840981422,-0.7698297482661177,0.01606803835102877,0.15197561068114696,-0.046222656571088594,-0.7679073613990645,-0.22660852268380383,-0.1682829088470521,009290
35,대웅제약,2016,Q1,헬스케어,0.04055458798457505,-0.9041150504208844,-0.0076605146834055615,0.04703189539170305,0.0010929510520916175,-0.9140492985639949,-0.22660852268380383,-0.04941339463599255,069620
35,한미약품,2016,Q1,헬스케어,-0.1787394786283491,-0.879740043470397,0.06629009048187617,-0.13840981000115382,-0.23470064232698196,-0.7789057618274577,-0.22660852268380383,0.01591318406980318,128940
35,동아에스티,2016,Q1,헬스케어,-0.06588863648016068,-0.9051905842366733,-0.03697526664209072,0.021123350226060156,-0.11284833879886913,-0.9068165258070552,-0.22660852268380383,-0.223189394356491,170900
35,종근당,2016,Q1,헬스케어,-0.1676894396292877,-0.4896984412763222,0.047891880064404146,0.15217427556751395,-0.019060397227372072,-1.8212609643830615,-0.22660852268380383,-0.05839963844039004,185750
