,name,year,quarter,sector,Relative Return,보유 주식 수 변화율,금리 변화율,주식 수 감소 변화율,실업률 변화율,소비자물가지수 변화율,자기주식수 변화율,Label,Code
5,현대중공업,2023,Q3,중공업,-0.14798587932518886,0.0,0.11207897793263655,0.0,0.03896103896103886,-0.028955398190522508,0.0,0.1893023454522152,009540
5,삼성중공업,2023,Q3,중공업,-0.1751641931331243,0.0,0.11207897793263655,0.0,0.03896103896103886,-0.028955398190522508,0.0,0.01823121812080361,010140
5,현대미포조선,2023,Q3,중공업,-0.20173531899048228,0.0,0.11207897793263655,0.0,0.03896103896103886,-0.028955398190522508,0.0,-0.22658134178314868,010620
5,한화테크윈,2023,Q3,중공업,0.14499271349019355,0.0,0.11207897793263655,0.0,0.03896103896103886,-0.028955398190522508,0.0,0.3273648132583421,012450
5,현대엘리베이,2023,Q3,중공업,0.10904720232753652,0.0,0.11207897793263655,0.0,0.03896103896103886,-0.028955398190522508,0.0,-0.25861080503405154,017800
5,두산중공업,2023,Q3,중공업,-0.13384837615606848,0.0,0.11207897793263655,0.0,0.03896103896103886,-0.028955398190522508,0.0,0.195240635048068,034020
5,대우조선해양,2023,Q3,중공업,-0.4006493987832226,0.0,0.11207897793263655,0.0,0.03896103896103886,-0.028955398190522508,0.0,-0.04602264782318254,042660
5,두산인프라코어,2023,Q3,중공업,-0.29101872460617517,0.0,0.11207897793263655,0.0,0.03896103896103886,-0.028955398190522508,0.0,0.022850825190454768,042670
5,현대로템,2023,Q3,중공업,-0.12349491727482162,0.0,0.11207897793263655,0.0,0.03896103896103886,-0.028955398190522508,0.0,0.1508473545029226,064350
5,두산엔진,2023,Q3,중공업,-0.24622421192818306,0.0,0.11207897793263655,0.0,0.03896103896103886,-0.028955398190522508,0.0,0.12567307683304893,082740
5,한진중공업,2023,Q3,중공업,-0.06081120600176866,0.0,0.11207897793263655,0.0,0.03896103896103886,-0.028955398190522508,0.0,-0.20660987752872714,097230
