,name,year,quarter,sector,Relative Return,보유 주식 수 변화율,금리 변화율,주식 수 감소 변화율,실업률 변화율,소비자물가지수 변화율,자기주식수 변화율,Label,Code
23,현대중공업,2019,Q1,중공업,-0.05632310860481532,0.0,-0.09282764948769218,0.0,0.01754385964912264,-0.6874179652905958,0.0,-0.08038091853753876,009540
23,삼성중공업,2019,Q1,중공업,-0.025787363996223035,0.0,-0.09282764948769218,0.0,0.01754385964912264,-0.6874179652905958,0.0,-0.07945480995857554,010140
23,현대미포조선,2019,Q1,중공업,-0.12370889540684578,0.0,-0.09282764948769218,0.0,0.01754385964912264,-0.6874179652905958,0.0,-0.1770952594729852,010620
23,한화테크윈,2019,Q1,중공업,-0.07354064154583259,0.0,-0.09282764948769218,0.0,0.01754385964912264,-0.6874179652905958,-0.09882153156874407,0.2396145658147603,012450
23,현대엘리베이,2019,Q1,중공업,-0.11206410594897,0.0,-0.09282764948769218,0.0,0.01754385964912264,-0.6874179652905958,-0.09882153156889273,0.029369423095243458,017800
23,두산중공업,2019,Q1,중공업,-0.02336183228518403,0.0,-0.09282764948769218,0.0,0.01754385964912264,-0.6874179652905958,0.0,-0.07437567850815022,034020
23,대우조선해양,2019,Q1,중공업,0.017114649953694938,0.0,-0.09282764948769218,0.0,0.01754385964912264,-0.6874179652905958,0.0,-0.03447336990339961,042660
23,두산인프라코어,2019,Q1,중공업,-0.01518768773076164,0.0,-0.09282764948769218,-0.0988215315679134,0.01754385964912264,-0.6874179652905958,0.0,-0.06259056893712132,042670
23,현대로템,2019,Q1,중공업,-0.17395876751954403,0.0,-0.09282764948769218,0.0,0.01754385964912264,-0.6874179652905958,0.0,-0.09967339077118745,064350
23,두산엔진,2019,Q1,중공업,-0.20145686432463228,0.0,-0.09282764948769218,0.0,0.01754385964912264,-0.6874179652905958,0.0,-0.1464807835847722,082740
23,한진중공업,2019,Q1,중공업,0.0,-0.0988215315686275,-0.09282764948769218,-0.0988215315686275,0.01754385964912264,-0.6874179652905958,0.0,0.0,097230
