,name,year,quarter,sector,Relative Return,이익잉여금 변화율,매출액 변화율,부채총계 변화율,유동자산 변화율,법인세차감전 순이익 변화율,영업이익 변화율,Label,Code
6,조선내화,2023,Q2,철강_소재,0.01859796740924216,-0.021716290280187622,-1.0,0.2984630361073426,0.6058211635888033,-1.0074468658632325,-1.3738715376465342,-0.20592868253686974,000480
6,영풍,2023,Q2,철강_소재,-0.008138775911639778,-0.02415226449330099,0.04329616218725052,-0.16673179048034303,-0.299130847434505,-1.5262750568900643,-20.724422116316564,-0.11496775629119849,000670
6,동국제강,2023,Q2,철강_소재,0.20365198402539958,0.116804760161203,-0.9989383478227063,-0.9866329821977048,-0.9403571176365554,-1.0182043692792768,-1.0354017918519796,-0.2414258499784816,001230
6,세아베스틸,2023,Q2,철강_소재,-0.01517141271331833,-0.010380686732845978,-0.930894918620101,-0.1534267358578889,-0.8027439749688123,-1.2471798732723183,-1.044308089132528,-0.011149875952507583,001430
6,고려제강,2023,Q2,철강_소재,0.19543682499953216,0.008092047951840264,0.1353832286758263,-0.11346696179580595,-0.06663100007605094,-0.42142241587434826,0.16496913818889758,-0.14986109013631127,002240
6,세아제강,2023,Q2,철강_소재,0.21341076251411584,0.0002896623968129397,-0.8310087795319322,-0.16277797991485932,-0.7688934448825093,-0.9940175462988784,-0.9488611348186115,-0.0356870328660239,003030
6,현대제철,2023,Q2,철강_소재,-0.048063175218814744,0.02050219584656121,0.04628851965802294,-0.0811824661914532,-0.06543810707458286,0.1117926272477563,0.24356566003423796,0.02053365005905311,004020
6,삼광글라스,2023,Q2,철강_소재,-0.14846349759528193,-0.005915430933253973,-0.1598188380404698,-0.03162433330029801,-0.11211337239832164,-0.9591531612578729,-0.5107361749276398,0.0944702679884324,005090
6,POSCO,2023,Q2,철강_소재,0.5378390778086102,-0.00019774217580914577,-0.03842285789193178,-0.028070078566581724,-0.06873773531821992,-0.7398196197370517,-0.7047485867105223,-0.1548998759525076,005490
6,무림P&P,2023,Q2,철강_소재,-0.11948345723663582,-0.02041528651895963,-0.1344288207357921,0.06325845552028841,-0.04969995994891374,-1.8469756328099733,-1.035725715559989,-0.04189260821913885,009580
6,고려아연,2023,Q2,철강_소재,-0.02949819793436219,0.0198220641685376,-0.015146525943907974,-0.17982789185406234,-0.05436019744791454,-0.019486634616092013,0.06297909826214831,0.015317304317304298,010130
6,SK텔레콤,2023,Q2,커뮤니케이션서비스,-0.12633529861621448,0.006791982639010152,0.0006329286503670151,-0.04002203682073824,-0.10841990116897104,-0.27705664815940834,-0.08793463904479848,0.13157052320142448,017670
6,제일기획,2023,Q2,커뮤니케이션서비스,-0.021654007406326094,0.04881886590343987,0.10223772615755466,-0.1718433079886782,-0.08756971420243853,1.4867554972881942,5.5832743116618495,0.10887430073332618,030000
6,KT,2023,Q2,커뮤니케이션서비스,-0.04013117666181618,0.025215405405605962,-0.028485856444065538,-0.06018903653549468,-0.11468799688818732,-0.07725634976490148,0.049674990918295636,0.06370477521028312,030200
6,LG유플러스,2023,Q2,커뮤니케이션서비스,-0.14252943247576966,0.04388937365535761,-0.035932711693164365,0.002098480588893059,0.009255395982388892,0.16180659353055638,0.11868283177166594,0.06773791932308297,032640
6,SBS,2023,Q2,커뮤니케이션서비스,-0.28628315730740905,0.025406731582557907,0.2543474622385318,-0.10973716322262939,-0.10501666837326462,25.38097617275654,-3.5479179835496466,0.05303030303030302,034120
6,NAVER,2023,Q2,커뮤니케이션서비스,0.013203277882944876,0.0410561117883419,0.06073888120502202,-0.08394375575087687,-0.15110819108415718,0.5921537241093546,0.10686391955514685,-0.09722454590296001,035420
6,엔씨소프트,2023,Q2,커뮤니케이션서비스,-0.3421236263262457,0.008565592702445723,-0.06941553356161068,-0.03996896298165664,-0.08857018065120892,-0.751648380912392,-0.5600394998539873,-0.0006141616667932961,036570
6,풍산,2023,Q2,철강_소재,-0.1827580104026475,0.0378519480820545,0.004866407915110393,-0.053217054289476096,-0.01412627859127269,-0.20806075211394304,-0.19885940811485414,0.059105726288388775,103140
6,한국철강,2023,Q2,철강_소재,-0.18370531086095038,0.13487660966436232,0.08361909146289026,-0.20051588835217682,-0.0007419925097912339,1.1205465224918987,0.9533636220431305,0.08879760303908905,104700
