접수번호,접수일자,회사코드,회사명,대표보고자,발행 회사 관계 임원(등기여부),발행 회사 관계 임원 직위,발행 회사 관계 주요 주주,특정 증권 등 소유 수,특정 증권 등 소유 증감 수,특정 증권 등 소유 비율,특정 증권 등 소유 증감 비율,연도,분기
20230901000090,2023-09-01,00428251,현대백화점,국민연금공단,-,-,10%이상주주,"2,349,090","2,349,090",10.04,10.04,2023,Q3
20230905000384,2023-09-05,00428251,현대백화점,국민연금공단,-,-,10%이상주주,"2,371,182","22,092",10.13,0.09,2023,Q3
20230906000283,2023-09-06,00428251,현대백화점,정지선,등기임원,대표이사,사실상지배주주,"413,556","-3,584,863",1.77,-15.32,2023,Q3
20230906000288,2023-09-06,00428251,현대백화점,정몽근,-,-,사실상지배주주,0,"-616,644",0.00,-2.63,2023,Q3
20230906000292,2023-09-06,00428251,현대백화점,현대지에프홀딩스,-,-,사실상지배주주,"7,020,733","4,201,507",30.00,17.28,2023,Q3
20231006000451,2023-10-06,00428251,현대백화점,국민연금공단,-,-,10%이상주주,"2,539,647","168,465",10.85,0.72,2023,Q4
20231102000138,2023-11-02,00428251,현대백화점,국민연금공단,-,-,10%이상주주,"2,600,950","61,303",11.11,0.26,2023,Q4
20231204000267,2023-12-04,00428251,현대백화점,국민연금공단,-,-,10%이상주주,"2,356,231","-244,719",10.07,-1.04,2023,Q4
20231208000063,2023-12-08,00428251,현대백화점,국민연금공단,-,-,10%이상주주,"2,334,719","-21,512",9.98,-0.09,2023,Q4
20241115000336,2024-11-15,00428251,현대백화점,현대지에프홀딩스,-,-,사실상지배주주,"7,020,733",0,31.03,1.03,2024,Q4
20241212000097,2024-12-12,00428251,현대백화점,현대지에프홀딩스,-,-,사실상지배주주,"7,125,733","105,000",31.49,0.46,2024,Q4
20250108000083,2025-01-08,00428251,현대백화점,국민연금공단,-,-,10%이상주주,"2,264,073","2,264,073",10.01,10.01,2025,Q1
20250110000172,2025-01-10,00428251,현대백화점,국민연금공단,-,-,10%이상주주,"2,247,101","-16,972",9.93,-0.08,2025,Q1
20250206000062,2025-02-06,00428251,현대백화점,국민연금공단,-,-,10%이상주주,"2,270,300","2,270,300",10.03,10.03,2025,Q1
20250304000356,2025-03-04,00428251,현대백화점,현대지에프홀딩스,-,-,사실상지배주주,"7,291,030","165,297",32.22,0.73,2025,Q1
20250314001201,2025-03-14,00428251,현대백화점,현대지에프홀딩스,-,-,사실상지배주주,"7,441,758","150,728",32.89,0.67,2025,Q1
20250321001152,2025-03-21,00428251,현대백화점,현대지에프홀딩스,-,-,사실상지배주주,"7,563,733","121,975",33.43,0.54,2025,Q1
