,name,year,quarter,sector,Relative Return,유동부채 변화율,법인세차감전 순이익 변화율,이익잉여금 변화율,국제유가 변화율,보유 주식 수 변화율,소비자물가지수 변화율,Label,Code
17,유한양행,2020,Q3,헬스케어,-0.056977511654584076,-0.19022865290111646,-0.39023782288026054,0.01197353040624094,0.464159945473134,0.0,29.267844017171594,-0.23386316947637756,000100
17,일동제약,2020,Q3,헬스케어,-0.07199364085817223,-0.0034342223774270764,0.775870939059625,0.013065887467869297,0.464159945473134,0.0,29.267844017171594,0.3699180242814153,000230
17,동아쏘시오홀딩스,2020,Q3,헬스케어,0.14036300650534914,-0.0005516987741369661,-1.8464740176339265,0.018600461224819398,0.464159945473134,0.0,29.267844017171594,-0.3998505686067466,000640
17,부광약품,2020,Q3,헬스케어,-0.3780558573387964,-0.5102012243120686,-1.9074063077009447,-0.011228377208725049,0.464159945473134,0.0,29.267844017171594,-0.18219449129072096,003000
17,영진약품,2020,Q3,헬스케어,0.1597521371336741,-0.05968522253457653,-1.4388936052187993,-0.017345914922574535,0.464159945473134,0.0,29.267844017171594,-0.3949343437705028,003520
17,녹십자,2020,Q3,헬스케어,0.28649081150276556,-0.006345955264858705,3.1607163567654144,0.08313927461980875,0.464159945473134,0.0,29.267844017171594,-0.3312796150323131,006280
17,일양약품,2020,Q3,헬스케어,-0.20526474287899468,0.06411075769994068,1.6889328108776325,0.3202193163571443,0.464159945473134,0.0,29.267844017171594,-0.7222240162038875,007570
17,서흥,2020,Q3,헬스케어,-0.1346280795164987,0.09346303664410494,-0.3308098563782479,0.034151577698676716,0.464159945473134,0.0,29.267844017171594,-0.23824293152825574,008490
17,광동제약,2020,Q3,헬스케어,0.0018716884839686324,-0.01734161270986201,-0.05857426916822572,0.023299056438692345,0.464159945473134,0.0,29.267844017171594,-0.3261186561604223,009290
17,대웅제약,2020,Q3,헬스케어,-0.209257455963052,0.7580039051119201,-1.3015996773421652,0.007895172306926268,0.464159945473134,0.0,29.267844017171594,0.15086989844319507,069620
17,한미약품,2020,Q3,헬스케어,-0.12822564058653205,-0.0825666727777763,-3.07872101145333,-0.1849622453256875,0.464159945473134,0.0,29.267844017171594,-0.03156698280722092,128940
17,동아에스티,2020,Q3,헬스케어,-0.1371977300477319,-0.003665708456337402,-1.297680432862949,0.021144022025522125,0.464159945473134,0.0,29.267844017171594,-0.29242598531751146,170900
17,종근당,2020,Q3,헬스케어,-0.10026319236960443,0.14170387417597619,0.34926208507599177,0.1590660720364223,0.464159945473134,0.0,29.267844017171594,0.050608856185354684,185750
