,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,유동부채 변화율,이익잉여금 변화율,법인세차감전 순이익 변화율,영업이익 변화율,보유 주식 수 변화율,Label,Code
29,유한양행,2017,Q3,헬스케어,-0.15957438856395717,0.15372330132051748,0.014881124784752897,0.01104727256649296,-0.2713982704036527,-0.005327230141030537,0.0,0.15012014823915726,000100
29,일동제약,2017,Q3,헬스케어,-0.08256152990791404,0.15372330132051748,-0.008719836293637373,0.013141650282902928,0.7593113490256955,0.9064525721083891,0.0,0.006155543183324279,000230
29,동아쏘시오홀딩스,2017,Q3,헬스케어,-0.048003219157301255,0.15372330132051748,-0.04690041367620834,0.025878276342065742,-5.276848858682887,-7.105262827212398,0.0,0.0943149267201811,000640
29,부광약품,2017,Q3,헬스케어,0.03419259920863009,0.15372330132051748,-0.11076235314858207,0.012799223520097325,-0.15250464224718097,-0.12996220110861234,0.0,0.21154135619159697,003000
29,영진약품,2017,Q3,헬스케어,-0.15590136794306436,0.15372330132051748,-0.1333514870541751,0.03941313917011979,-0.0545381585555631,-0.258171478858054,0.0,-0.07525126211915237,003520
29,녹십자,2017,Q3,헬스케어,0.13925718830616043,0.15372330132051748,0.10997432152664066,0.04289226405409585,0.2717189439329586,0.31791728018393495,0.0,-0.005783587816245543,006280
29,일양약품,2017,Q3,헬스케어,-0.023961915065807582,0.15372330132051748,0.04758721717597081,-0.48168835239583785,-0.5074327764043809,-0.012430575792816367,0.0,0.12430095612278758,007570
29,서흥,2017,Q3,헬스케어,-0.11315723383542628,0.15372330132051748,0.3906937043561469,0.019254707192618792,-0.3053152681810086,-0.23243385751893308,0.03424546848369858,-0.00025751110231818364,008490
29,광동제약,2017,Q3,헬스케어,-0.05426387270765522,0.15372330132051748,0.02931138188660465,0.0332295676181289,1.3902946708220756,1.0974839322967314,0.0,0.0690218013204262,009290
29,대웅제약,2017,Q3,헬스케어,0.28865489637848146,0.15372330132051748,0.49032583985373446,0.02365947709067706,-0.22614706743198654,0.03901170050394098,0.0,0.5542092943841713,069620
29,한미약품,2017,Q3,헬스케어,0.44090160307636417,0.15372330132051748,0.22891153335719805,0.10721787860330556,4.738812744965902,0.2617215827705648,0.03425089426850758,0.037264029376655905,128940
29,동아에스티,2017,Q3,헬스케어,0.13251735957453206,0.15372330132051748,-0.2605664188194299,0.12297904837523443,1.475155414523611,3.2174345097739216,0.0,0.19417529505899425,170900
29,종근당,2017,Q3,헬스케어,0.07937974578550577,0.15372330132051748,0.03412078758164827,0.2320553981286917,0.47599235872187196,0.45263315098001433,0.0,0.11509932211569548,185750
