,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,이익잉여금 변화율,소비자물가지수 변화율,유동부채 변화율,Label,Code
33,유한양행,2016,Q3,헬스케어,-0.28882475635575133,-0.5602569102589632,0.003568665312222441,-0.1224419591674838,-0.07666236190257236,-0.0777993263259322,000100
33,일동제약,2016,Q3,헬스케어,0.0,1.8354444916169212,0.912555447455933,-0.1224419591674838,-0.9833745382260942,-0.44602156784564295,000230
33,동아쏘시오홀딩스,2016,Q3,헬스케어,-0.09565615732344623,-0.31549606417158194,-0.01668877413615788,-0.1224419591674838,-0.0035414124623047716,-0.2526357168042266,000640
33,부광약품,2016,Q3,헬스케어,-0.1251943868695893,-0.6154014343815304,0.00845987173874585,-0.1224419591674838,-0.1575888102721924,-0.15125339957992842,003000
33,영진약품,2016,Q3,헬스케어,-0.17987018730530918,0.24727210648338316,0.14605082302483918,-0.1224419591674838,0.07310409834924503,-0.2861865203969422,003520
33,녹십자,2016,Q3,헬스케어,-0.09427004078851697,0.25545442903950333,0.03780139685754014,-0.1224419591674838,0.11446070442123468,-0.13201985373027553,006280
33,일양약품,2016,Q3,헬스케어,-0.16573600366504107,28.274073387092468,-0.08919570461619519,-0.1224419591674838,0.10984360875215304,-0.22605738399661934,007570
33,서흥,2016,Q3,헬스케어,-0.02161304775481084,-0.373384646109433,0.02661468495933761,-0.1224419591674838,0.14060536555083436,-0.17877250932823466,008490
33,광동제약,2016,Q3,헬스케어,-0.08789709631564545,-0.1472041041467994,0.02890039084941387,-0.1224419591674838,0.0018138193969050587,-0.0900739170257911,009290
33,대웅제약,2016,Q3,헬스케어,-0.12977171519674705,0.2242284295900543,0.015405973508464177,-0.1224419591674838,-0.05499521369871385,-0.052516061062766045,069620
33,한미약품,2016,Q3,헬스케어,-0.35232659770494706,-1.4517447360027431,0.0028749925792244113,-0.1224419591674838,0.03823567249320914,-0.3288709999347528,128940
33,동아에스티,2016,Q3,헬스케어,-0.15184869715713867,-2.30892934155672,0.05635471665530001,-0.1224419591674838,0.20116530410638833,-0.15258150747025187,170900
33,종근당,2016,Q3,헬스케어,-0.06398958091444784,1.0230781242183222,0.49797266912972105,-0.1224419591674838,-0.03133977235411278,-0.0911545614360885,185750
