,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,영업이익 변화율,부채총계 변화율,국제유가 변화율,수출액 변화율,소비자물가지수 변화율,Label,Code
1,유한양행,2024,Q3,헬스케어,0.5302977539193272,0.27259044526318665,2.462311349138303,-0.08792101488063064,-0.05674568795778523,-0.0051857654838392,-0.2377021247854798,-0.07720671896762361,000100
1,일동제약,2024,Q3,헬스케어,-0.0836245273219364,-1.1437246559662149,4.08406829578499,0.13482593021013378,-0.05674568795778523,-0.0051857654838392,-0.2377021247854798,-0.20398249218684314,000230
1,동아쏘시오홀딩스,2024,Q3,헬스케어,0.10673495881254522,-2.984539108470846,-4.805455803231825,-0.05862320315979075,-0.05674568795778523,-0.0051857654838392,-0.2377021247854798,-0.23453288397382438,000640
1,부광약품,2024,Q3,헬스케어,-0.09209426705591194,-2.5578628588532206,1.858187751138725,0.006468063986493355,-0.05674568795778523,-0.0051857654838392,-0.2377021247854798,-0.04565820476570984,003000
1,영진약품,2024,Q3,헬스케어,-0.06584683970613461,-0.760715876097941,0.09179676395675562,0.006263509527859368,-0.05674568795778523,-0.0051857654838392,-0.2377021247854798,-0.1258934633327838,003520
1,녹십자,2024,Q3,헬스케어,0.04124822995500206,4.650367060347576,1.5960131205661483,0.04140740921490216,-0.05674568795778523,-0.0051857654838392,-0.2377021247854798,-0.15797906405163326,006280
1,일양약품,2024,Q3,헬스케어,-0.10442076528020697,4.462819950094234,3.1409853249567714,0.12570865921343177,-0.05674568795778523,-0.0051857654838392,-0.2377021247854798,-0.1394667832167833,007570
1,서흥,2024,Q3,헬스케어,-0.11364233772798789,0.5147948347310454,-0.624963373748959,-0.08110889313307601,-0.05674568795778523,-0.0051857654838392,-0.2377021247854798,-0.01841855113717534,008490
1,광동제약,2024,Q3,헬스케어,-0.01670221699653235,-0.7074566154214952,-0.7094355894955218,0.107113690497876,-0.05674568795778523,-0.0051857654838392,-0.2377021247854798,-0.05928031072439577,009290
1,대웅제약,2024,Q3,헬스케어,0.18916351023857117,-0.13595953161847085,-0.17051073451375043,-0.006147017890743012,-0.05674568795778523,-0.0051857654838392,-0.2377021247854798,-0.20194085745879306,069620
1,한미약품,2024,Q3,헬스케어,0.21547402246704772,-0.4225405972250941,-0.02650235036417592,-0.02268901616787733,-0.05674568795778523,-0.0051857654838392,-0.2377021247854798,-0.30605436230436234,128940
1,동아에스티,2024,Q3,헬스케어,0.11852063188702255,-0.8445491190548632,1.7895408983196268,-0.05992595227819808,-0.05674568795778523,-0.0051857654838392,-0.2377021247854798,-0.4241662321269875,170900
1,종근당,2024,Q3,헬스케어,-0.04205449869618158,-0.2690293887698467,-0.1106219187630616,-0.043849283487954804,-0.05674568795778523,-0.0051857654838392,-0.2377021247854798,-0.2286742086199372,185750
