,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,이익잉여금 변화율,유동부채 변화율,비유동부채 변화율,당기순이익(손실) 변화율,국제유가 변화율,Label,Code
9,유한양행,2022,Q3,헬스케어,0.018610835921721084,-0.25037899110723316,0.002500101134134569,-0.11046267180373015,-0.2176018739268104,-0.7087673414065138,-0.11299650647329962,-0.04341924912778849,000100
9,일동제약,2022,Q3,헬스케어,-0.22730846938527113,0.5648573625186353,0.0035170418338172915,-0.019756347794654516,0.003613551596078457,-1.3473569619229517,-0.11299650647329962,-0.4629102238676061,000230
9,동아쏘시오홀딩스,2022,Q3,헬스케어,-0.04422912612361249,-2.5497421492946906,0.022559669147247163,-0.03342343536323278,0.03194200848413198,-2.9310483035202557,-0.11299650647329962,-0.08799314204559384,000640
9,부광약품,2022,Q3,헬스케어,-0.12129372322350558,0.45619374855463457,0.009666587134155469,0.3326008738622044,0.02216021097911325,0.7751390916171892,-0.11299650647329962,-0.01689194641921392,003000
9,영진약품,2022,Q3,헬스케어,-0.19216797519823928,0.37763435863284656,95.91024290759246,0.049211810017084634,-0.009353786707633094,0.48258024467859406,-0.11299650647329962,0.0621983953460601,003520
9,녹십자,2022,Q3,헬스케어,-0.21901211677481514,2.0550915379220456,0.0476148743845366,0.11246353081856886,0.007937616970719263,1.2370928829007566,-0.11299650647329962,-0.05390522417246933,006280
9,일양약품,2022,Q3,헬스케어,-0.19433139479695985,1.325415911471739,0.31320537689931394,0.019112910863441135,-0.10290315575347642,2.327167186908419,-0.11299650647329962,-0.032175523882569446,007570
9,서흥,2022,Q3,헬스케어,0.007213375163110887,0.3909333028495694,0.03418384324787982,0.00660573834944489,0.1857700739196173,0.3810199843386284,-0.11299650647329962,-0.1258111825675394,008490
9,광동제약,2022,Q3,헬스케어,-0.07497466965076101,0.17418465066365862,0.014086499601293268,0.06006976913299322,0.007369242918777497,0.2244676069036904,-0.11299650647329962,-0.0623101367041075,009290
9,대웅제약,2022,Q3,헬스케어,-0.10600496073427504,0.04503649973032031,0.04038056086288022,0.0594311272581558,-0.00198748156722095,0.0372476361920655,-0.11299650647329962,-0.27721589401366126,069620
9,한미약품,2022,Q3,헬스케어,-0.13993765977515552,1.0959372511250836,0.07783267017657214,0.04744359294164968,-0.10946758102368004,0.5539344219152431,-0.11299650647329962,0.05742923487358205,128940
9,동아에스티,2022,Q3,헬스케어,0.038819261367116956,3.9238680671969473,0.11750917786338166,-0.09020697099632424,0.105528342141612,5.533985136702214,-0.11299650647329962,-0.03320790542035765,170900
9,종근당,2022,Q3,헬스케어,-0.043965937339236594,0.448836838213579,0.09298805846385916,-0.04439719632072192,-0.02004665029367636,0.19267622100723303,-0.11299650647329962,-0.010816597752292663,185750
