,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,이익잉여금 변화율,유동자산 변화율,자산총계 변화율,유동부채 변화율,비유동부채 변화율,Label,Code
5,유한양행,2023,Q3,헬스케어,-0.1365996389889667,-0.44606395688133127,0.0061756230885789964,0.05838533905082177,0.02984587429177865,0.1565534283017096,0.18056740366497448,0.09501216460727777,000100
5,일동제약,2023,Q3,헬스케어,-0.10504188623918811,-2.6462575524186125,0.5018516939824702,0.024654632543340327,0.07319013672668073,0.029329310323263247,-0.028565204940946498,-0.18290683109768113,000230
5,동아쏘시오홀딩스,2023,Q3,헬스케어,0.07971995402686094,-2.0710907941212247,0.0014097993813733112,-0.07716239664888103,0.004372109865950824,0.018891857572967963,0.00017082632916998186,0.06673828483305849,000640
5,부광약품,2023,Q3,헬스케어,-0.09887998804800935,-4.450071241060929,-0.03943998183955866,0.015944851226433077,0.03330471387069012,-0.15851141066488927,0.44007854197669927,-0.031270062069607765,003000
5,영진약품,2023,Q3,헬스케어,-0.12801352275036487,-0.448923226603663,0.06092094112649704,0.0897744930970732,0.045130077240427724,0.19272750447421094,-0.019103213349084158,-0.16696533678456976,003520
5,녹십자,2023,Q3,헬스케어,-0.09152539035579976,1.157916341689683,0.023502139555587442,0.11841008513670603,0.04912654458949084,0.11944532519816398,0.021163156975168684,0.05349638702774506,006280
5,일양약품,2023,Q3,헬스케어,-0.1256940528661142,-0.7150883354939745,0.13410951471684607,0.2046453543861566,0.0630619585519594,0.13768022483242648,-0.030835552384514964,-0.129648217565095,007570
5,서흥,2023,Q3,헬스케어,0.1092551243428436,-0.3496735528732746,0.007823745311863473,0.0072413235342658755,0.01705965400471876,0.48711241516556014,-0.97420883374661,-0.34901971392386616,008490
5,광동제약,2023,Q3,헬스케어,0.06699793426647052,0.18209123523940396,0.019792130568740296,0.0661484279100617,0.028325798508405553,0.05060527167568463,0.01936794893485816,-0.09776234306129312,009290
5,대웅제약,2023,Q3,헬스케어,0.013252990289530635,-0.1823460923482838,0.03375488182752617,0.003876936319630264,0.030863854239874255,0.2408112464226182,-0.41499801039259043,0.048743475475966636,069620
5,한미약품,2023,Q3,헬스케어,-0.05747364214878319,-0.4137588825413795,0.1131951328549361,0.10416511961288744,0.007844929138631551,0.035897511579847,-0.21182268121898662,0.029600978467908226,128940
5,동아에스티,2023,Q3,헬스케어,-0.16416859584741345,1.3884176006868767,0.05568885977654081,0.006192852739939525,0.008623116871376402,0.6039652763500116,-0.3225772129997634,0.24990245783200782,170900
5,종근당,2023,Q3,헬스케어,0.4188110700950764,0.21534194775681437,0.10271218985010555,0.10433174847939686,0.07224903164598229,0.40963340359043254,-0.6551286844766984,-0.11728085040185014,185750
