,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,유동자산 변화율,비유동부채 변화율,유동부채 변화율,영업이익 변화율,이익잉여금 변화율,Label,Code
2,유한양행,2024,Q2,헬스케어,0.2848114793230269,-0.2640870695217775,0.07902208666382382,-0.5072802986534846,0.23632179249996854,1.5612947115842926,0.012744224911674484,0.5302977539193272,000100
2,일동제약,2024,Q2,헬스케어,0.037205930743872746,27.65349699784431,-0.01740910210827984,0.07497798000774214,0.020044553631552997,-0.8471436253157808,-0.9954333847029359,-0.0836245273219364,000230
2,동아쏘시오홀딩스,2024,Q2,헬스케어,0.15859709832860064,-1.2673307436629944,-0.3246598724040105,-0.3268231025111954,0.07152591524904017,-1.1463868187413606,-0.015986620400102125,0.10673495881254522,000640
2,부광약품,2024,Q2,헬스케어,-0.132677991624114,-2.6636253685116786,-0.218266866244068,-0.07458360132903319,-0.6099775363807544,0.12696189233910538,-0.031543685949217526,-0.09209426705591194,003000
2,영진약품,2024,Q2,헬스케어,0.21382556383006918,-1.2511326959556008,0.002665315482817787,0.04047574052834002,0.012877304838604164,-0.7372219096434249,0.10203177870127655,-0.06584683970613461,003520
2,녹십자,2024,Q2,헬스케어,0.3450960910556526,-1.5633016883559139,0.06464362660938705,0.3132670686136756,-0.0921608875610026,-2.933932893479932,0.007403693861506522,0.04124822995500206,006280
2,일양약품,2024,Q2,헬스케어,0.12407645988741686,-0.7186079360641613,0.016020848577664726,0.011537435996963552,0.05727694406780337,-0.20216744629477224,0.01901707041847045,-0.10442076528020697,007570
2,서흥,2024,Q2,헬스케어,-0.16301616890588347,-0.46339744012907613,0.08912930916645467,0.17514985742452205,0.034539292429457635,0.08140900091487935,0.012625480379887977,-0.11364233772798789,008490
2,광동제약,2024,Q2,헬스케어,-0.03642188886279837,-0.894937492318355,-0.004172683604271921,0.4890275597196667,0.023680297655993998,-0.8030511915605479,0.0020935017583552096,-0.01670221699653235,009290
2,대웅제약,2024,Q2,헬스케어,0.18219481517089292,1.54231988638701,0.13403286723789387,1.4405229016260859,-0.15030635079831645,0.5882554217133824,0.010093076362464926,0.18916351023857117,069620
2,한미약품,2024,Q2,헬스케어,-0.06455449847522676,0.026186239570497483,0.003359375049057256,-0.09704615134445016,-0.050608324604065724,-0.18681389567911155,0.102940940910202,0.21547402246704772,128940
2,동아에스티,2024,Q2,헬스케어,0.10768631637488779,3.5915056555056353,0.13549756984575279,0.3701963417027161,0.01759512720855727,8.658421168481468,0.04124394305477841,0.11852063188702255,170900
2,종근당,2024,Q2,헬스케어,0.15354819751764934,0.10715908502424298,0.031578393330997434,0.07894116462641865,-0.009102346480777457,0.0603975309666116,0.0912891753572751,-0.04205449869618158,185750
