,name,year,quarter,sector,Relative Return,당기순이익(손실) 변화율,수출액 변화율,이익잉여금 변화율,부채총계 변화율,자산총계 변화율,실업률 변화율,Label,Code
35,유한양행,2016,Q1,헬스케어,0.1148266266075024,-0.48858488562480074,-0.02437748355156011,0.02829693175160508,-0.020998480885135673,0.018062415470025517,0.05660377358490565,-0.021322660882138945,000100
35,일동제약,2016,Q1,헬스케어,0.06574955965458663,-0.6929994511072328,-0.02437748355156011,-0.00220764554413333,0.024710775946787722,0.010292737950633901,0.05660377358490565,-0.017564600762572644,000230
35,동아쏘시오홀딩스,2016,Q1,헬스케어,-0.08383989999888539,-0.26874271565032914,-0.02437748355156011,0.03614898643743025,0.01607753834197001,0.04588550191978835,0.05660377358490565,-0.11475335845004679,000640
35,부광약품,2016,Q1,헬스케어,0.03989261079945959,-0.6529722702235112,-0.02437748355156011,-0.05583762002101078,0.8506677183121285,0.03912736618148793,0.05660377358490565,-0.03692754308589987,003000
35,영진약품,2016,Q1,헬스케어,1.2942459531017734,-0.7135697952650892,-0.02437748355156011,0.11195361637488732,-0.023073650115256306,-0.006114732927433808,0.05660377358490565,0.36828605154656463,003520
35,녹십자,2016,Q1,헬스케어,-0.01722413402096781,-0.9489333521600113,-0.02437748355156011,-0.024887820619477696,0.12057809209006787,0.021223409127807624,0.05660377358490565,-0.00951536102852494,006280
35,일양약품,2016,Q1,헬스케어,-0.05471804705359408,-5.277133551425156,-0.02437748355156011,-5.277133551425156,0.003217932828992298,0.01099946287757958,0.05660377358490565,0.028678102094541358,007570
35,서흥,2016,Q1,헬스케어,0.1218431730422396,-0.8267338776694269,-0.02437748355156011,0.003703816226184653,-0.002995936457395376,-0.00947077758403414,0.05660377358490565,-0.18526692966740427,008490
35,광동제약,2016,Q1,헬스케어,-0.07118412840981422,-0.7679073613990645,-0.02437748355156011,0.01606803835102877,0.08487514326336187,0.039775219878817936,0.05660377358490565,-0.1682829088470521,009290
35,대웅제약,2016,Q1,헬스케어,0.04055458798457505,-0.9140492985639949,-0.02437748355156011,-0.0076605146834055615,0.019774911518764204,0.003843790283600379,0.05660377358490565,-0.04941339463599255,069620
35,한미약품,2016,Q1,헬스케어,-0.1787394786283491,-0.7789057618274577,-0.02437748355156011,0.06629009048187617,-0.1682347374496045,-0.10216488440451288,0.05660377358490565,0.01591318406980318,128940
35,동아에스티,2016,Q1,헬스케어,-0.06588863648016068,-0.9068165258070552,-0.02437748355156011,-0.03697526664209072,-0.050425307867273395,-0.0036335914339524766,0.05660377358490565,-0.223189394356491,170900
35,종근당,2016,Q1,헬스케어,-0.1676894396292877,-1.8212609643830615,-0.02437748355156011,0.047891880064404146,0.0800214398692396,0.03692329817700202,0.05660377358490565,-0.05839963844039004,185750
