,name,year,quarter,sector,Relative Return,유동자산 변화율,금리 변화율,유동부채 변화율,실업률 변화율,당기순이익(손실) 변화율,이익잉여금 변화율,Label,Code
8,유한양행,2023,Q2,헬스케어,0.29034291902187653,-0.01758870054898254,0.0022310602386272915,-0.032994539608148465,-0.14583333333333348,-0.48613700550248373,0.009304753109873332,-0.1365996389889667,000100
8,일동제약,2023,Q2,헬스케어,-0.05119394037489635,-0.17857848517095454,0.0022310602386272915,0.07395581317890954,-0.14583333333333348,24.43967811165541,-0.25456418653547386,-0.09910588453619856,000230
8,동아쏘시오홀딩스,2023,Q2,헬스케어,0.04921519946166719,-0.4596519768890476,0.0022310602386272915,-0.2587229686926462,-0.14583333333333348,-1.1162454530138215,-0.009672768054790892,0.07971995402686094,000640
8,부광약품,2023,Q2,헬스케어,-0.1538276740468974,0.01702647576153593,0.0022310602386272915,0.006182803818163274,-0.14583333333333348,-2.1464379612507862,0.00968414823143382,-0.10561647327104665,003000
8,영진약품,2023,Q2,헬스케어,-0.1369187640744036,0.03749882975856833,0.0022310602386272915,0.5047303340001081,-0.14583333333333348,9.902795564251777,0.13308315720480968,-0.12315991419342537,003520
8,녹십자,2023,Q2,헬스케어,-0.0883642258291437,0.04334525732745664,0.0022310602386272915,0.493062076112448,-0.14583333333333348,-1.6611022839243335,0.010725230840499478,-0.09152539035579976,006280
8,일양약품,2023,Q2,헬스케어,-0.041474048147759957,0.031366048182916995,0.0022310602386272915,0.024081492245527025,-0.14583333333333348,3.4058620532034016,0.7673134233159988,-0.12975701880965043,007570
8,서흥,2023,Q2,헬스케어,-0.08711301426865378,0.055433578798663286,0.0022310602386272915,0.27253204578083157,-0.14583333333333348,0.22463954871693503,0.012542324088605561,0.08691830586567423,008490
8,광동제약,2023,Q2,헬스케어,0.05405369388834563,-0.0025396668112831478,0.0022310602386272915,0.11659521202546985,-0.14583333333333348,-0.4654407777663011,0.016545012528894842,0.06699793426647052,009290
8,대웅제약,2023,Q2,헬스케어,-0.06986015896270115,-0.09562480685505315,0.0022310602386272915,0.05031616290982743,-0.14583333333333348,0.4028655564308947,0.05158207550481997,0.013252990289530635,069620
8,한미약품,2023,Q2,헬스케어,0.050828567916480646,-0.2088797096969225,0.0022310602386272915,-0.04813200544219853,-0.14583333333333348,0.1941425092404896,0.1375440053624708,-0.07743929611453655,128940
8,동아에스티,2023,Q2,헬스케어,0.22828194819849823,0.1348575574827937,0.0022310602386272915,-0.05320678757838493,-0.14583333333333348,-0.4729054282753884,0.023615616926974115,-0.16416859584741345,170900
8,종근당,2023,Q2,헬스케어,-0.031747784263654336,0.0017557199695494852,0.0022310602386272915,-0.11905684733748245,-0.14583333333333348,0.1990381007673896,0.1096292566321464,0.37998378666909505,185750
